,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ribeira grande,50.0,PT,1584503166.0,89.0,38.52,-28.7,58.17,10.85
1,ambilobe,17.0,MG,1584503166.0,92.0,-13.2,49.05,74.34,3.02
2,ushuaia,20.0,AR,1584502371.0,58.0,-54.8,-68.3,53.6,5.82
3,saint-pierre,40.0,RE,1584502634.0,83.0,-21.34,55.48,75.2,8.05
4,rikitea,74.0,PF,1584502600.0,80.0,-23.12,-134.97,80.4,11.81
5,kunya,100.0,NG,1584503167.0,30.0,12.22,8.53,68.0,8.25
6,tuktoyaktuk,75.0,CA,1584502608.0,83.0,69.45,-133.04,-5.8,8.05
7,cap malheureux,20.0,MU,1584503167.0,94.0,-19.98,57.61,79.0,5.7
8,nabire,28.0,ID,1584503167.0,51.0,-3.37,135.48,89.73,4.85
9,esperance,0.0,AU,1584502549.0,31.0,-33.87,121.9,73.4,25.28
10,arraial do cabo,0.0,BR,1584503134.0,84.0,-22.97,-42.03,77.74,11.07
11,malindi,100.0,KE,1584503168.0,85.0,-3.22,40.12,78.4,3.65
12,mumford,100.0,GH,1584503168.0,89.0,5.26,-0.76,78.31,3.58
14,busselton,6.0,AU,1584502607.0,34.0,-33.65,115.33,70.0,18.84
16,beitbridge,0.0,ZW,1584503169.0,86.0,-22.22,30.0,62.47,10.71
17,albany,75.0,US,1584502502.0,56.0,42.6,-73.97,42.8,3.36
18,luderitz,0.0,NA,1584502602.0,93.0,-26.65,15.16,59.0,8.05
20,ostersund,61.0,SE,1584503169.0,74.0,63.18,14.64,30.2,10.29
21,taltal,0.0,CL,1584502634.0,89.0,-25.4,-70.48,57.42,0.67
22,mataura,62.0,NZ,1584502502.0,70.0,-46.19,168.86,59.0,8.01
23,talcahuano,0.0,CL,1584503077.0,82.0,-36.72,-73.12,59.0,9.17
24,olafsvik,100.0,IS,1584502642.0,81.0,64.89,-23.71,26.4,34.16
25,isangel,90.0,VU,1584502609.0,74.0,-19.55,169.27,80.6,11.41
26,kaitangata,28.0,NZ,1584502614.0,72.0,-46.28,169.85,51.73,8.34
27,torbay,90.0,CA,1584502341.0,79.0,47.67,-52.73,30.99,25.28
28,hamilton,1.0,US,1584502399.0,84.0,39.18,-84.53,44.01,2.89
29,tiksi,0.0,RU,1584502637.0,88.0,71.69,128.87,-28.86,7.2
30,hermanus,30.0,ZA,1584502623.0,92.0,-34.42,19.23,65.5,3.42
31,snezhnogorsk,75.0,RU,1584503171.0,86.0,69.19,33.25,28.4,2.24
32,bluff,83.0,NZ,1584502338.0,70.0,-46.6,168.33,59.0,8.01
34,provideniya,75.0,RU,1584502360.0,86.0,64.38,-173.3,30.2,24.61
35,chuy,100.0,UY,1584502608.0,78.0,-33.7,-53.46,69.37,11.95
36,port lincoln,100.0,AU,1584503172.0,29.0,-34.73,135.87,79.5,7.96
37,victoria,40.0,HK,1584502550.0,94.0,22.29,114.16,70.0,9.17
38,bambanglipuro,62.0,ID,1584503049.0,66.0,-7.95,110.28,85.32,5.1
39,beringovskiy,98.0,RU,1584502639.0,86.0,63.05,179.32,32.74,5.23
40,dingle,8.0,PH,1584502613.0,62.0,11.0,122.67,85.37,13.33
41,bethel,1.0,US,1584502608.0,80.0,41.37,-73.41,48.99,3.36
42,lebu,0.0,CL,1584502619.0,94.0,-37.62,-73.65,53.89,5.55
43,barrow,1.0,US,1584502600.0,78.0,71.29,-156.79,15.8,20.8
44,fort collins,1.0,US,1584503011.0,70.0,40.59,-105.08,46.0,4.7
45,rognac,0.0,FR,1584503174.0,87.0,43.49,5.23,48.0,3.36
47,petropavlovsk-kamchatskiy,100.0,RU,1584503057.0,66.0,53.05,158.65,32.0,17.9
48,scarborough,100.0,GB,1584503102.0,87.0,54.28,-0.4,54.0,12.75
49,halifax,90.0,CA,1584503110.0,96.0,44.65,-63.57,35.01,8.05
51,tromso,75.0,NO,1584503175.0,97.0,69.65,18.96,35.6,20.8
52,tura,0.0,IN,1584502614.0,29.0,25.52,90.22,81.82,3.15
53,hobart,75.0,AU,1584502606.0,49.0,-42.88,147.33,71.6,14.99
54,thomaston,90.0,US,1584503176.0,100.0,32.89,-84.33,64.4,3.36
56,paracuru,20.0,BR,1584503176.0,83.0,-3.41,-39.03,82.99,3.36
57,katsuura,20.0,JP,1584502402.0,58.0,35.13,140.3,64.0,6.93
58,punta arenas,40.0,CL,1584503177.0,66.0,-53.15,-70.92,53.6,23.04
59,bemidji,40.0,US,1584503177.0,67.0,47.47,-94.88,28.4,3.36
60,novyy urengoy,95.0,RU,1584503177.0,90.0,66.08,76.63,12.18,15.73
61,alugan,65.0,PH,1584503177.0,81.0,12.22,125.48,80.1,9.22
62,adrar,39.0,MR,1584502631.0,29.0,20.5,-10.07,63.63,10.38
63,lagoa,19.0,PT,1584502604.0,82.0,39.05,-27.98,62.22,13.76
64,charleston,20.0,US,1584503102.0,93.0,32.78,-79.93,64.0,1.34
65,valleyview,100.0,CA,1584503178.0,91.0,55.07,-117.29,12.83,3.2
66,palmer,20.0,US,1584503178.0,65.0,42.16,-72.33,42.8,6.93
67,chillicothe,90.0,US,1584502879.0,82.0,39.33,-82.98,44.6,3.2
68,clarence town,20.0,AU,1584503178.0,57.0,-32.58,151.78,82.99,5.82
69,puerto ayora,0.0,EC,1584503024.0,80.0,-0.74,-90.35,79.0,5.01
70,fortuna,90.0,US,1584502601.0,87.0,40.6,-124.16,46.99,19.46
71,vao,35.0,NC,1584502382.0,75.0,-22.67,167.48,76.87,19.64
72,mahebourg,20.0,MU,1584502647.0,94.0,-20.41,57.7,78.01,5.03
73,ilulissat,97.0,GL,1584502602.0,46.0,69.22,-51.1,6.8,23.04
74,takoradi,100.0,GH,1584503180.0,87.0,4.88,-1.76,79.36,6.38
75,caravelas,4.0,BR,1584502600.0,81.0,-17.71,-39.25,80.67,9.19
76,constantine,75.0,DZ,1584502920.0,87.0,36.37,6.61,50.0,6.93
77,guatire,91.0,VE,1584503180.0,97.0,10.48,-66.54,64.99,4.7
78,nikolskoye,90.0,RU,1584502599.0,86.0,59.7,30.79,39.2,8.95
79,sitka,20.0,US,1584502652.0,75.0,57.05,-135.33,41.0,16.11
80,fort nelson,75.0,CA,1584503181.0,45.0,58.81,-122.7,26.6,5.82
81,huarmey,100.0,PE,1584503181.0,68.0,-10.07,-78.15,72.86,1.83
82,bambous virieux,20.0,MU,1584502943.0,94.0,-20.34,57.76,79.0,10.45
83,airai,0.0,TL,1584502603.0,50.0,-8.93,125.41,80.08,5.86
84,muisne,98.0,EC,1584503181.0,86.0,0.6,-80.03,76.03,1.7
85,yellowknife,75.0,CA,1584502606.0,76.0,62.46,-114.35,-7.01,6.93
87,burnie,100.0,AU,1584502610.0,81.0,-41.07,145.92,66.99,1.01
88,kavieng,100.0,PG,1584502616.0,89.0,-2.57,150.8,78.17,7.85
89,port alfred,0.0,ZA,1584503182.0,92.0,-33.59,26.89,62.01,3.0
90,geraldton,40.0,AU,1584502444.0,41.0,-28.77,114.6,77.0,19.46
91,tsarychanka,0.0,UA,1584503183.0,69.0,48.94,34.48,32.94,4.16
92,kapaa,90.0,US,1584502610.0,94.0,22.08,-159.32,75.2,9.17
93,tripoli,100.0,LY,1584503183.0,78.0,32.88,13.19,58.64,22.79
94,nome,90.0,US,1584502443.0,92.0,64.5,-165.41,30.99,12.75
95,tynda,100.0,RU,1584503183.0,92.0,55.17,124.72,26.33,3.98
96,seoul,1.0,KR,1584502425.0,43.0,37.57,126.98,57.2,8.05
97,zyryanka,0.0,RU,1584503184.0,68.0,65.75,150.85,-1.55,2.33
98,kuytun,5.0,RU,1584503184.0,89.0,54.34,101.5,16.65,9.93
99,saint-philippe,40.0,RE,1584502357.0,83.0,-21.36,55.77,75.2,8.05
100,carnarvon,100.0,AU,1584502316.0,51.0,-24.87,113.63,82.4,20.8
101,trang,20.0,TH,1584503185.0,62.0,7.5,99.5,86.0,8.05
102,moba,97.0,CN,1584503185.0,36.0,33.23,105.02,64.0,1.88
103,van wert,1.0,US,1584503185.0,86.0,40.87,-84.58,37.0,1.12
104,saint-augustin,100.0,CA,1584502626.0,94.0,51.23,-58.65,26.83,21.52
105,matinhos,100.0,BR,1584503185.0,83.0,-25.82,-48.54,79.0,2.73
106,narsaq,20.0,GL,1584502601.0,39.0,60.92,-46.05,10.4,6.93
107,souillac,20.0,MU,1584502638.0,94.0,-20.52,57.52,78.01,5.03
108,east london,0.0,ZA,1584502964.0,93.0,-33.02,27.91,62.6,3.36
